(+)-7-epi-jasmonate <=> (-)-jasmonate	1579	3
2 ATP + hydrogencarbonate + ammonium -> 2 ADP + carbamoyl phosphate + phosphate + 2 H+	718 1078 706 	616 810 1354 1064 
2 ATP + L-glutamine + hydrogencarbonate + H2O -> L-glutamate + carbamoyl phosphate + 2 ADP + phosphate + 2 H+	718 1159 1078 1066 	1157 810 616 1354 1064 
2 cob(I)alamin + an [oxidized flavoprotein] + 2 H+ -> 2 cob(II)alamin + a [reduced flavoprotein]	850 1633 1064 	852 1632 
2 cob(II)alamin-[corrinoid adenosyltranferase] + a [reduced flavoprotein] -> 2 cob(I)alamin-[corrinoid adenosyltranferase] + an [oxidized flavoprotein] + 2 H+	1641 1632 	1642 1633 1064 
2 D-alanine + ATP -> D-alanyl-D-alanine + ADP + phosphate + H+	880 718 	881 616 1354 1064 
2 ditrans,octacis-undecaprenyldiphospho-[(N-acetyl-β-D-glucosaminyl)-(1,4)-]-N-acetyl-α-D-muramoyl-L-alanyl-γ-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine -> di-trans,octa-cis-undecaprenyl diphosphate + ditrans,octacis-undecaprenyldiphospho-[(N-acetyl-β-D-glucosaminyl)-(1,4)-]-N-acetyl-α-D-muramoyl-L-alanyl-γ-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	1643	941 1643 
2 Fe2+ + 2 oxygen -> 2 superoxide + 2 Fe3+	985 1336 	1470 986 
2 glutathione + a hydroperoxy-fatty-acyl-[lipid] -> glutathione disulfide + a hydroxy-fatty-acyl-[lipid] + H2O	1027 1644 	1028 1645 1066 
2 glutathione + a protein with a disulfide bond -> glutathione disulfide + a protein with reduced L-cysteine residues	1027 1646 	1028 1647 
2 glutathione + an oxidized glutaredoxin -> glutathione disulfide + a reduced glutaredoxin	1027 1648 	1028 1649 
2 glutathione + hydrogen peroxide -> glutathione disulfide + 2 H2O	1027 1075 	1028 1066 
2 glutathione + NADP+ <- glutathione disulfide + NADPH + H+	1028 1301 1064 	1027 1300 
2 glyoxylate + H+ -> CO2 + tartronate semialdehyde	1055 1064 	834 1471 
2 GTP + bis(molybdenum cofactor) + 2 H+ -> bis(guanylyl molybdopterin) cofactor + 2 diphosphate	1058 798 1064 	797 955 
2 H+[in] + 2 e-[membrane] -> H2[in]	1064 1606 	1065
2 H+[out] + 2 e-[membrane] -> H2[out]	1064 1606 	1065
2 hydrogen peroxide -> 2 H2O + oxygen	1075	1066 1336 
2 L-ascorbate + an oxidized electron acceptor + 2 H+ -> 2 monodehydroascorbate radical + a reduced electron acceptor	1137 1608 1064 	1235 1609 
2 L-ascorbate + hydrogen peroxide + 2 H+ -> 2 monodehydroascorbate radical + 2 H2O	1137 1075 1064 	1235 1066 
2 L-ascorbate + hydrogen peroxide + H+ -> L-ascorbate + L-dehydro-ascorbate + 2 H2O	1137 1075 1064 	1137 1152 1066 
2 L-dehydro-ascorbate + oxygen -> 2 cyclic-2,3-O-oxalyl-L-threonate + 2 H+	1152 1336 	870 1064 
2 L-glutamate + NADP+ <- L-glutamine + 2-oxoglutarate + NADPH + H+	1159 280 1301 1064 	1157 1300 
2 monodehydroascorbate radical -> L-ascorbate + L-dehydro-ascorbate + H+	1235	1137 1152 1064 
2 nitric oxide[out] + 2 a reduced c-type cytochrome[out] + 2 H+[out] -> nitrous oxide[out] + 2 an oxidized c-type cytochrome[out] + H2O[out]	1309 1650 1064 	1311 1651 1066 
2 nitric oxide[out] + 2 H+[out] + 2 e-[membrane] -> nitrous oxide[out] + H2O[out]	1309 1064 1606 	1311 1066 
2 pyruvate + H+ -> (S)-2-acetolactate + CO2	1401 1064 	123 834 
2 S-adenosyl-L-methionine + a [2-oxoglutarate-dehydrogenase E2 protein] N6-octanoyl-L-lysine + 2 a sulfurated [sulfur carrier] + 2 a reduced [2Fe-2S] ferredoxin = a [2-oxoglutarate dehydrogenase E2 protein] N6-lipoyl-L-lysine + 2 L-methionine + 2 5'-deoxyadenosine + 2 an unsulfurated [sulfur carrier] + 2 an oxidized [2Fe-2S] ferredoxin	1652 1653 1654 1655 	1656 1169 429 1657 1658 
2 S-adenosyl-L-methionine + a [glycine-cleavage complex H protein] N6-octanoyl-L-lysine + 2 a sulfurated [sulfur carrier] + 2 a reduced [2Fe-2S] ferredoxin = a [glycine-cleavage complex H protein] N6-lipoyl-L-lysine + 2 L-methionine + 2 5'-deoxyadenosine + 2 an unsulfurated [sulfur carrier] + 2 an oxidized [2Fe-2S] ferredoxin	1652 1659 1654 1655 	1595 1169 429 1657 1658 
2 S-adenosyl-L-methionine + a [lipoyl-carrier protein] N6-octanoyl-L-lysine + an [Fe-S] cluster scaffold protein carrying a [4Fe-4S]+2 cluster + 2 a reduced ferredoxin [iron-sulfur] cluster + 6 H+ -> a [lipoyl-carrier protein] N6-[(R)-dihydrolipoyl]-L-lysine + 2 5'-deoxyadenosine + 2 L-methionine + an [Fe-S] cluster scaffold protein + 2 sulfide(2-) + 4 Fe2+ + 2 an oxidized ferredoxin [iron-sulfur] cluster	1652 1660 1661 1628 1064 	1662 429 1169 1663 1468 985 1629 
2 S-adenosyl-L-methionine + a [pyruvate dehydrogenase E2 protein] N6-octanoyl-L-lysine + 2 a sulfurated [sulfur carrier] + 2 a reduced [2Fe-2S] ferredoxin = a [pyruvate dehydrogenase E2 protein] N6-lipoyl-L-lysine + 2 L-methionine + 2 5'-deoxyadenosine + 2 an unsulfurated [sulfur carrier] + 2 an oxidized [2Fe-2S] ferredoxin	1652 1664 1654 1655 	1665 1169 429 1657 1658 
2 S-adenosyl-L-methionine + a sulfurated [sulfur carrier] + dethiobiotin + 2 a reduced [2Fe-2S] ferredoxin -> an unsulfurated [sulfur carrier] + biotin + 2 5'-deoxyadenosine + 2 L-methionine + 2 an oxidized [2Fe-2S] ferredoxin	1652 1654 936 1655 	1657 795 429 1169 1658 
2 S-adenosyl-L-methionine + coproporphyrinogen III -> protoporphyrinogen IX + 2 CO2 + 2 L-methionine + 2 5'-deoxyadenosine	1652 858 	1385 834 1169 429 
2 S-adenosyl-L-methionine + N6-dimethylallyladenosine37 in tRNA + a sulfurated [sulfur carrier] + a reduced electron acceptor -> 2-methylsulfanyl-N6-dimethylallyladenosine37 in tRNA + S-adenosyl-L-homocysteine + an unsulfurated [sulfur carrier] + 5'-deoxyadenosine + L-methionine + an oxidized electron acceptor + 2 H+	1652 1666 1654 1609 	271 1426 1657 429 1169 1608 1064 
2 S-adenosyl-L-methionine + uroporphyrinogen-III -> 2 S-adenosyl-L-homocysteine + precorrin-2 + H+	1652 1536 	1426 1370 1064 
2 S-sulfanylglutathione + a reduced electron acceptor <=> bisorganyltrisulfane + hydrogen sulfide + an oxidized electron acceptor	1435 1609 	799 1077 1608 
2 superoxide + 2 H+ -> hydrogen peroxide + oxygen	1470 1064 	1075 1336 
2''-O-acetyl-ADP-ribose + H2O -> ADP-D-ribose + acetate + H+	201 1066 	620 591 1064 
2'-(5''-triphospho-α-D-ribosyl)-3'-dephospho-CoA + an apo [citrate-lyase acyl-carrier protein] -> a holo [citrate lyase acyl-carrier protein] + diphosphate + H+	1667 1668 	1669 955 1064 
2'-deoxyadenosine + 2 hydroxyl radical -> 2-oxo-2'-deoxyadenosine + H2O	203 1081 	277 1066 
2'-deoxyadenosine + ATP -> dAMP + ADP + H+	203 718 	925 616 1064 
2'-deoxyadenosine + H+ + H2O -> ammonium + 2'-deoxyinosine	203 1064 1066 	706 206 
2'-deoxyadenosine + phosphate -> adenine + 2-deoxy-α-D-ribose 1-phosphate	203 1354 	597 1670 
2'-deoxycytidine + a nucleoside triphosphate -> dCMP + a nucleoside diphosphate + H+	204 1671 	928 1605 1064 
2'-deoxycytidine + H+ + H2O -> 2'-deoxyuridine + ammonium	204 1064 1066 	208 706 
2'-deoxyguanosine + ATP -> dGMP + ADP + H+	205 718 	938 616 1064 
2'-deoxyguanosine + phosphate <=> guanine + 2-deoxy-α-D-ribose 1-phosphate	205 1354 	1059 1670 
2'-deoxyinosine + phosphate <=> hypoxanthine + 2-deoxy-α-D-ribose 1-phosphate	206 1354 	1086 1670 
2'-deoxyribose + ATP -> 2-deoxy-D-ribose 5-phosphate + ADP + H+	207 718 	1672 616 1064 
2'-deoxyuridine + ATP -> dUMP + ADP + H+	208 718 	974 616 1064 
2'-deoxyuridine + phosphate -> 2-deoxy-α-D-ribose 1-phosphate + uracil	208 1354 	1670 1529 
2,2-dichloroacetate + H2O -> glyoxylate + 2 chloride + 2 H+	209 1066 	1055 820 1064 
2,3,5,6-tetrachlorohydroquinone + glutathione + H+ -> 2,3,5-trichloro-6-(glutathion-S-yl)-hydroquinone + chloride	210 1027 1064 	211 820 
2,3,6-trichlorohydroquinone + glutathione -> 2,6-dichloro-3-(glutathion-S-yl)-hydroquinone + chloride	212 1027 	224 820 
2,3-dihydroxy-trans-cinnamate + oxygen -> (2Z,4E,7E)-2-hydroxy-6-oxonona-2,4,7-triene-1,9-dioate + H+	213 1336 	42 1064 
2,3-dihydroxybenzoate + a holo-[EntB aryl-carrier protein] + ATP -> a 2,3-dihydroxybenzoyl-[EntB aryl-carrier protein] + AMP + diphosphate	214 1585 718 	1586 707 955 
2,3-dihydroxybenzoate + ATP + H+ -> (2,3-dihydroxybenzoyl)adenylate + diphosphate	214 718 1064 	10 955 
2,3-dioxo-L-gulonate -> 2-carboxy-L-xylonolactone	215	236
2,3-dioxo-L-gulonate[periplasm] + H+[periplasm] -> 2,3-dioxo-L-gulonate[cytosol] + H+[cytosol]	215 1064 	215 1064 
2,5-diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one + H+ + H2O -> 5-amino-6-(5-phospho-D-ribosylamino)uracil + ammonium	218 1064 1066 	444 706 
2,5-dichloro-trans-dienelactone + H2O -> 2,5-dichloromaleylacetate + H+	219 1066 	220 1064 
2,5-dioxopentanoate + NADP+ + H2O -> 2-oxoglutarate + NADPH + 2 H+	222 1300 1066 	280 1301 1064 
2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA -> 2-oxepin-2(3H)-ylideneacetyl-CoA	225	276
2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate + 4-amino-2-methyl-5-(diphosphooxymethyl)pyrimidine + 2 H+ -> thiamine phosphate + CO2 + diphosphate	226 400 1064 	1477 834 955 
2-[(2R,5Z)-2-carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate + 4-amino-2-methyl-5-(diphosphooxymethyl)pyrimidine + 2 H+ -> thiamine phosphate + CO2 + diphosphate	291 400 1064 	1477 834 955 
2-amino-6-[1-hydroxyethyl]-7-methyl-7,8-dihydropterin + ATP = [1-(2-amino-7-methyl-4-oxo-7,8-dihydro-3H-pteridin-6-yl)]ethyl diphosphate + AMP + H+	229 718 	1571 707 1064 
2-aminoprop-2-enoate -> 2-iminopropanoate	231	256
2-aminoprop-2-enoate + H2O -> pyruvate + ammonium	231 1066 	1401 706 
2-C-methyl-D-erythritol 4-phosphate + CTP + H+ = 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol + diphosphate	233 865 1064 	396 955 
2-C-methyl-D-erythritol 4-phosphate + NADP+ = 1-deoxy-D-xylulose 5-phosphate + NADPH + H+	233 1300 	164 1301 1064 
2-carboxy-L-xylonolactone + H2O -> 2-carboxy-L-threo-pentonate + H+	236 1066 	235 1064 
2-chloro-cis-dienelactone + H2O -> 2-chloromaleylacetate + H+	237 1066 	239 1064 
2-chloro-trans-dienelactone + H2O -> 2-chloromaleylacetate + H+	238 1066 	239 1064 
2-dehydro-3-deoxy-D-galactonate + ATP -> 2-dehydro-3-deoxy-D-galactonate 6-phosphate + ADP + H+	241 718 	242 616 1064 
2-dehydro-3-deoxy-D-galactonate 6-phosphate -> D-glyceraldehyde 3-phosphate + pyruvate	242	899 1401 
2-dehydro-3-deoxy-D-gluconate + ATP -> 2-dehydro-3-deoxy-D-gluconate 6-phosphate + ADP + H+	243 718 	244 616 1064 
2-dehydro-3-deoxy-D-gluconate 6-phosphate -> D-glyceraldehyde 3-phosphate + pyruvate	244	899 1401 
2-dehydro-3-deoxy-D-gluconate[periplasm] + H+[periplasm] <=> 2-dehydro-3-deoxy-D-gluconate[cytosol] + H+[cytosol]	243 1064 	243 1064 
2-dehydro-3-deoxy-D-octonate <=> 3-deoxy-α-D-manno-2-octulosonate	245	1673
2-deoxy-D-glucose 6-phosphate + H2O -> 2-deoxy-D-glucose + phosphate	248 1066 	1674 1354 
2-deoxy-D-ribose 5-phosphate -> acetaldehyde + D-glyceraldehyde 3-phosphate	1672	589 899 
2-deoxy-α-D-ribose 1-phosphate -> 2-deoxy-D-ribose 5-phosphate	1670	1672
2-deoxygluconate + NAD+ -> 3-dehydro-2-deoxy-D-gluconate + NADH + H+	249 1298 	319 1299 1064 
2-hydroxy-5-carboxymethylmuconate semialdehyde + NAD+ + H2O -> 5-carboxymethyl-2-hydroxymuconate + NADH + 2 H+	251 1298 1066 	448 1299 1064 
2-iminoacetate + H+ + H2O -> glyoxylate + ammonium	254 1064 1066 	1055 706 
2-iminobutanoate + H2O + H+ -> 2-oxobutanoate + ammonium	255 1066 1064 	279 706 
2-iminopropanoate + H2O -> pyruvate + ammonium	256 1066 	1401 706 
2-iminosuccinate + glycerone phosphate -> quinolinate + phosphate + 2 H2O	257 1032 	1404 1354 1066 
2-isopropylmaleate + H2O <=> (2S)-2-isopropylmalate	258 1066 	30
2-keto-D-gluconate + NADP+ <- 2,5-didehydro-D-gluconate + NADPH + H+	221 1301 1064 	259 1300 
2-keto-L-gulonate + NADP+ <- 2,5-didehydro-D-gluconate + NADPH + H+	221 1301 1064 	260 1300 
2-keto-L-gulonate + NADPH + H+ -> L-idonate + NADP+	260 1301 1064 	1165 1300 
2-methoxy-6-(all-trans-octaprenyl)phenol + NADPH + oxygen + H+ -> 2-methoxy-6-all trans-octaprenyl-1,4-benzoquinol + NADP+ + H2O	264 1301 1336 1064 	265 1300 1066 
2-methylacetoacetyl-CoA + coenzyme A <=> propanoyl-CoA + acetyl-CoA	267 856 	1382 595 
2-O-(α-D-mannosyl)-3-phospho-D-glycerate + H2O -> 2-O-(α-D-mannosyl)-D-glycerate + phosphate	1675 1066 	1676 1354 
2-octaprenylphenol + NADPH + oxygen + H+ -> 3-(all-trans-octaprenyl)benzene-1,2-diol + NADP+ + H2O	275 1301 1336 1064 	306 1300 1066 
2-oxepin-2(3H)-ylideneacetyl-CoA + H2O -> 3-oxo-5,6-didehydrosuberyl-CoA semialdehyde	276 1066 	361
2-oxoadipate + coenzyme A + NAD+ -> CO2 + glutaryl-CoA + NADH	278 856 1298 	834 1026 1299 
2-oxobutanoate + coenzyme A -> propanoyl-CoA + formate	279 856 	1382 995 
2-oxoglutarate + a [2-oxoglutarate dehydrogenase E2 protein] N6-lipoyl-L-lysine + H+ -> a [2-oxoglutarate dehydrogenase E2 protein] N6-S-succinyldihydrolipoyl-L-lysine + CO2	280 1656 1064 	1677 834 
2-oxoglutarate + coenzyme A + NAD+ -> succinyl-CoA + CO2 + NADH	280 856 1298 	1464 834 1299 
2-oxoglutarate + L-alanine <=> L-glutamate + pyruvate	280 1119 	1157 1401 
2-oxoglutarate + N-succinyl-L,L-2,6-diaminopimelate <- L-glutamate + N-succinyl-2-amino-6-ketopimelate	1157 1278 	280 1279 
2-oxoglutarate[periplasm] + H+[periplasm] <=> 2-oxoglutarate[cytosol] + H+[cytosol]	280 1064 	280 1064 
2-oxopent-4-enoate <=> (2Z)-2-hydroxypenta-2,4-dienoate	281	40
2-phenylethylamine + oxygen + H2O -> phenylacetaldehyde + ammonium + hydrogen peroxide	283 1336 1066 	1351 706 1075 
2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol = 2-C-methyl-D-erythritol-2,4-cyclodiphosphate + CMP	284	234 831 
2-phospho-D-glycerate <=> 3-phospho-D-glycerate	285	373
2-phospho-D-glycerate <=> 3-phospho-D-glycerate	285	373
2-phospho-D-glycerate <=> phosphoenolpyruvate + H2O	285	1356 1066 
2-phosphoglycolate + H2O -> glycolate + phosphate	286 1066 	1047 1354 
2-succinyl-5-enolpyruvoyl-6-hydroxy-3-cyclohexene-1-carboxylate -> (1R,6R)-6-hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate + pyruvate	287	8 1401 
2-succinylbenzoate + ATP + coenzyme A -> 4-(2'-carboxyphenyl)-4-oxobutyryl-CoA + AMP + diphosphate	288 718 856 	395 707 955 
2-trans-nonenoyl-CoA + acetyl-CoA <- 4-trans-3-oxo-undecenoyl-CoA + coenzyme A	425 856 	290 595 
3 an N-(2,3-dihydroxybenzoyl)-seryl-[EntF L-seryl-carrier protein] -> enterobactin + 3 a holo-[EntF L-seryl-carrier protein]	1678	977 1679 
3 L-serine + 3 2,3-dihydroxybenzoate + 6 ATP -> enterobactin + 6 AMP + 6 diphosphate + 3 H+	1182 214 718 	977 707 955 1064 
3''-O-acetyl-ADP-ribose + H2O -> ADP-D-ribose + acetate + H+	292 1066 	620 591 1064 
3'-dephospho-CoA + ATP = ADP + coenzyme A + H+	293 718 	616 856 1064 
3'-dephospho-CoA + ATP + H+ -> 2'-(5''-triphospho-α-D-ribosyl)-3'-dephospho-CoA + adenine	293 718 1064 	1667 597 
3,5-dimethoxytoluene[periplasm] + H+[periplasm] -> 3,5-dimethoxytoluene[cytosol] + H+[cytosol]	297 1064 	297 1064 
3-(2,3-dihydroxyphenyl)propanoate + oxygen -> (2Z,4E)-2-hydroxy-6-oxonona-2,4-diene-1,9-dioate + H+	298 1336 	41 1064 
3-(3-hydroxyphenyl)propanoate + NADH + H+ + oxygen -> 3-(2,3-dihydroxyphenyl)propanoate + NAD+ + H2O	299 1299 1064 1336 	298 1298 1066 
3-(3-hydroxyphenyl)propanoate[periplasm] -> 3-(3-hydroxyphenyl)propanoate[cytosol]	299	299
3-(5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate + NAD+ -> 3-(2,3-dihydroxyphenyl)propanoate + NADH + H+	302 1298 	298 1299 1064 
3-(N-morpholino)propanesulfonate + FMNH2 + oxygen -> 3-(N-morpholino)propanal + sulfite + FMN + H2O + 2 H+	309 993 1336 	308 1469 992 1066 1064 
3-[(3'-methylsulfanyl)propyl]malate + NAD+ -> 6-(methylsulfanyl)-2-oxohexanoate + CO2 + NADH	380 1298 	482 834 1299 
3-[(3'-methylsulfanyl)propyl]malate + NAD+ <=> 3-carboxy-6-(methylsulfanyl)-2-oxohexanoate + NADH + H+	380 1298 	314 1299 1064 
3-[(3aS,4S,5R,7aS)-5-hydroxy-7a-methyl-1-oxo-octahydro-1H-indene-4-carboxyl-CoA + acetyl-CoA <- 3-[(3aS,4S,5R,7aS)-5-hydroxy-7a-methyl-1-oxo-octahydro-1H-inden-4-yl]-3-oxopropanoyl-CoA + coenzyme A	381 856 	382 595 
3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoate + ATP + coenzyme A -> 3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl-CoA + AMP + diphosphate	383 718 856 	384 707 955 
3-[(4'-methylsulfanyl)butyl]malate + NAD+ -> 7-(methylsulfanyl)-2-oxoheptanoate + CO2 + NADH	385 1298 	509 834 1299 
3-[(4'-methylsulfanyl)butyl]malate + NAD+ <=> 3-carboxy-7-(methylsulfanyl)-2-oxoheptanoate + NADH + H+	385 1298 	315 1299 1064 
3-[(5'-methylsulfanyl)pentyl]malate + NAD+ -> 8-(methylsulfanyl)-2-oxooctanoate + CO2 + NADH	386 1298 	515 834 1299 
3-[(5'-methylsulfanyl)pentyl]malate + NAD+ <=> 3-carboxy-8-(methylsulfanyl)-2-oxooctanoate + NADH + H+	386 1298 	316 1299 1064 
3-[(6'-methylsulfanyl)hexyl]malate + NAD+ -> 9-(methylsulfanyl)-2-oxononanoate + CO2 + NADH	387 1298 	521 834 1299 
3-[(6'-methylsulfanyl)hexyl]malate + NAD+ <=> 3-carboxy-9-(methylsulfanyl)-2-oxononanoate + NADH + H+	387 1298 	317 1299 1064 
3-[(7'-methylsulfanyl)heptyl]malate + NAD+ -> 10-(methylsulfanyl)-2-oxodecanoate + CO2 + NADH	388 1298 	185 834 1299 
3-[(7'-methylsulfanyl)heptyl]malate + NAD+ <=> 3-carboxy-10-(methylsulfanyl)-2-oxodecanoate + NADH + H+	388 1298 	313 1299 1064 
3-benzyl-3,6-dihydroxy-6-(hydroxymethyl)-diketopiperazine + 2 glutathione = 3-benzyl-3,6 -bis(glutathione)- 6-(hydroxymethyl)-diketopiperazine + 2 H2O	312 1027 	311 1066 
3-carboxy-10-(methylsulfanyl)-2-oxodecanoate + H+ -> 10-(methylsulfanyl)-2-oxodecanoate + CO2	313 1064 	185 834 
3-carboxy-6-(methylsulfanyl)-2-oxohexanoate + H+ -> 6-(methylsulfanyl)-2-oxohexanoate + CO2	314 1064 	482 834 
3-carboxy-7-(methylsulfanyl)-2-oxoheptanoate + H+ -> 7-(methylsulfanyl)-2-oxoheptanoate + CO2	315 1064 	509 834 
3-carboxy-8-(methylsulfanyl)-2-oxooctanoate + H+ -> 8-(methylsulfanyl)-2-oxooctanoate + CO2	316 1064 	515 834 
3-carboxy-9-(methylsulfanyl)-2-oxononanoate + H+ -> 9-(methylsulfanyl)-2-oxononanoate + CO2	317 1064 	521 834 
3-decaprenyl-4-hydroxybenzoate + H+ = 2-decaprenylphenol + CO2	318 1064 	240 834 
3-dehydroquinate -> 3-dehydroshikimate + H2O	320	321 1066 
3-deoxy-D-arabino-heptulosonate 7-phosphate -> 3-dehydroquinate + phosphate	325	320 1354 
3-deoxy-D-manno-octulosonate 8-phosphate + H2O -> 3-deoxy-α-D-manno-2-octulosonate + phosphate	329 1066 	1673 1354 
3-deoxy-α-D-manno-2-octulosonate + CTP -> CMP-3-deoxy-β-D-manno-octulosonate + diphosphate	1673 865 	833 955 
3-ethyl-2-oxosuccinate + H+ -> 2-oxovalerate + CO2	330 1064 	282 834 
3-ethylmalate + NAD+ -> 2-oxovalerate + CO2 + NADH	331 1298 	282 834 1299 
3-ethylmalate + NAD+ <=> 3-ethyl-2-oxosuccinate + NADH + H+	331 1298 	330 1299 1064 
3-heptaprenyl-4-hydroxybenzoate + H+ = 2-heptaprenylphenol + CO2	332 1064 	250 834 
3-hydroxy-5-phosphooxypentane-2,4-dione + H2O <=> 3,4,4-trihydroxy-5-phosphooxypentan-2-one	333 1066 	296
3-hydroxy-cis,cis-muconate <=> 2-maleylacetate	334	261
3-hydroxy-trans-cinnamate + NADH + oxygen + H+ -> 2,3-dihydroxy-trans-cinnamate + NAD+ + H2O	335 1299 1336 1064 	213 1298 1066 
3-hydroxypropanoate + NADP+ <- 3-oxopropanoate + NADPH + H+	370 1301 1064 	336 1300 
3-keto-L-gulonate + ATP -> 3-keto-L-gulonate 6-phosphate + ADP + H+	337 718 	338 616 1064 
3-keto-L-gulonate + NAD+ <- 2,3-dioxo-L-gulonate + NADH + H+	215 1299 1064 	337 1298 
3-keto-L-gulonate 6-phosphate + H+ -> L-xylulose 5-phosphate + CO2	338 1064 	1189 834 
3-mercaptopyruvate -> pyruvate + hydrogen sulfide	339	1401 1077 
3-mercaptopyruvate + a [3-mercaptopyruvate sulfurtransferase]-L-cysteine -> a [3-mercaptopyruvate sulfurtransferase]-S-sulfanyl-L-cysteine + pyruvate	339 1680 	1681 1401 
3-mercaptopyruvate + a reduced thioredoxin -> pyruvate + hydrogen sulfide + an oxidized thioredoxin	339 1682 	1401 1077 1683 
3-methyl-2-oxobutanoate + 5,10-methylene-tetrahydromethanopterin + H2O = 2-dehydropantoate + tetrahydromethanopterin	340 432 1066 	246 1473 
3-methyl-2-oxobutanoate + acetyl-CoA + H2O -> (2S)-2-isopropylmalate + coenzyme A + H+	340 595 1066 	30 856 1064 
3-nonaprenyl-4-hydroxybenzoate + H+ = 2-nonaprenylphenol + CO2	345 1064 	272 834 
3-octaprenyl-4-hydroxybenzoate + H+ -> 2-octaprenylphenol + CO2	346 1064 	275 834 
3-oxo-2-(cis-2'-pentenyl)-cyclopentane-1-butanoyl-CoA + acetyl-CoA <- 3-oxo-2-(cis-2'-pentenyl)-cyclopentane-1-(3-oxohexanoyl)-CoA + coenzyme A	355 856 	357 595 
3-oxo-2-(cis-2'-pentenyl)-cyclopentane-1-hexanoyl-CoA + acetyl-CoA <- 3-oxo-2-(cis-2'-pentenyl)-cyclopentane-1-(3-oxooctanoyl)-CoA + coenzyme A	356 856 	358 595 
3-oxo-4-pregnene-20-carboxyl-CoA + acetyl-CoA <- 3,22-dioxochol-4-en-24-oyl-CoA + coenzyme A	295 856 	359 595 
3-oxo-5,6-didehydrosuberyl-CoA semialdehyde -> 2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA + H2O	361	253 1066 
3-oxo-5,6-didehydrosuberyl-CoA semialdehyde + NADP+ + H2O -> 3-oxo-5,6-didehydrosuberyl-CoA + NADPH + 2 H+	361 1300 1066 	360 1301 1064 
3-phenyl-2-oxopropanoate <=> enol-phenylpyruvate	371	976
3-phenylpropanoate + NADH + oxygen + H+ -> 3-(5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate + NAD+	372 1299 1336 1064 	302 1298 
3-phenylpropanoate[periplasm] + H+[periplasm] -> 3-phenylpropanoate[cytosol] + H+[cytosol]	372 1064 	372 1064 
3-phospho-D-glycerate + ATP <=> 3-phospho-D-glyceroyl-phosphate + ADP	373 718 	374 616 
3-phospho-D-glycerate + GDP-α-D-mannose -> 2-O-(α-D-mannosyl)-3-phospho-D-glycerate + GDP + H+	373 1684 	1675 1012 1064 
3-phospho-D-glycerate + NAD+ <=> 3-phosphooxypyruvate + NADH + H+	373 1298 	375 1299 1064 
3-sulfopropanediol + NAD+ <- 3-sulfolactaldehyde + NADH + H+	1686 1299 1064 	1685 1298 
3-ureidoacrylate + H2O = carbamate + aminoacrylate + H+	379 1066 	809 704 1064 
4 porphobilinogen + H2O -> 4 ammonium + preuroporphyrinogen	1364 1066 	706 1375 
4 S-adenosyl-L-methionine + adenine1518/adenine1519 in 16S rRNA -> N6-dimethyladenine1518/N6-dimethyladenine1519in 16S rRNA + 4 S-adenosyl-L-homocysteine + 4 H+	1652 1687 	1688 1426 1064 
4'-phosphopantetheine + ATP + H+ = 3'-dephospho-CoA + diphosphate	391 718 1064 	293 955 
4,5-seco-dopa -> betalamate + H+ + H2O	394	794 1064 1066 
4-(2'-carboxyphenyl)-4-oxobutyryl-CoA + H+ -> 1,4-dihydroxy-2-naphthoyl-CoA + H2O	395 1064 	150 1066 
4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol + ATP = 2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol + ADP + H+	396 718 	284 616 1064 
4-(γ-L-glutamylamino)butanal + NAD(P)+ + H2O -> 4-(γ-L-glutamylamino)butanoate + NAD(P)H + 2 H+	397 1600 1066 	398 1601 1064 
4-(γ-L-glutamylamino)butanoate + H2O -> L-glutamate + 4-aminobutanoate	398 1066 	1157 407 
4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine + ATP -> 4-amino-2-methyl-5-(diphosphooxymethyl)pyrimidine + ADP	401 718 	400 616 
4-amino-4-deoxychorismate -> 4-aminobenzoate + pyruvate + H+	404	405 1401 1064 
4-aminobutanal <=> 1-pyrroline + H2O	406	179 1066 
4-aminobutanal + NAD+ + H2O -> 4-aminobutanoate + NADH + 2 H+	406 1298 1066 	407 1299 1064 
4-aminobutanoate + 2-oxoglutarate -> succinate semialdehyde + L-glutamate	407 280 	1463 1157 
4-aminobutanoate[periplasm] -> 4-aminobutanoate[cytosol]	407	407
